index,s,x_centroidal,y_centroidal,q_s
206,0.127961844,-0.0410596667,0.0174378908,-10289.3866
207,0.128597371,-0.0416847217,0.0173229947,-10341.0342
208,0.129233042,-0.0423095617,0.0172061544,-10392.4004
209,0.129868858,-0.0429341808,0.0170873568,-10443.4797
210,0.130504821,-0.0435585725,0.0169665885,-10494.2667
211,0.131140936,-0.0441827307,0.0168438358,-10544.7557
212,0.131777204,-0.0448066487,0.0167190845,-10594.9412
213,0.132413627,-0.0454303201,0.0165923201,-10644.8175
214,0.13305021,-0.0460537381,0.0164635278,-10694.379
215,0.133686955,-0.0466768959,0.0163326922,-10743.6198
216,0.134323864,-0.0472997863,0.0161997977,-10792.5343
217,0.134960941,-0.0479224024,0.0160648281,-10841.1165
218,0.13559819,-0.0485447367,0.0159277666,-10889.3606
219,0.136235613,-0.0491667817,0.0157885963,-10937.2608
220,0.136873215,-0.04978853,0.0156472995,-10984.8109
221,0.137510998,-0.0504099736,0.0155038579,-11032.005
222,0.138148967,-0.0510311045,0.0153582529,-11078.8371
223,0.138787126,-0.0516519146,0.0152104652,-11125.3009
224,0.139425478,-0.0522723954,0.0150604749,-11171.3902
225,0.140064028,-0.0528925385,0.0149082613,-11217.0989
226,0.140702781,-0.053512335,0.0147538032,-11262.4206
227,0.14134174,-0.0541317758,0.0145970786,-11307.3489
228,0.141980912,-0.0547508517,0.014438065,-11351.8774
229,0.142620301,-0.0553695533,0.0142767387,-11395.9995
230,0.143259911,-0.0559878707,0.0141130754,-11439.7087
231,0.14389975,-0.0566057939,0.01394705,-11482.9984
232,0.144539822,-0.0572233126,0.0137786364,-11525.8618
233,0.145180134,-0.0578404162,0.0136078074,-11568.292
234,0.145820692,-0.0584570937,0.013434535,-11610.2823
235,0.146461503,-0.0590733338,0.0132587901,-11651.8256
236,0.147102573,-0.0596891251,0.0130805422,-11692.9149
237,0.147743911,-0.0603044554,0.0128997598,-11733.5431
238,0.148385523,-0.0609193124,0.0127164101,-11773.7028
239,0.149027418,-0.0615336834,0.012530459,-11813.3867
240,0.149669605,-0.0621475551,0.0123418708,-11852.5875
241,0.150312092,-0.0627609138,0.0121506084,-11891.2975
242,0.15095489,-0.0633737455,0.0119566328,-11929.5092
243,0.151598009,-0.0639860354,0.0117599037,-11967.2146
244,0.152241459,-0.0645977684,0.0115603785,-12004.406
245,0.152885251,-0.0652089285,0.0113580128,-12041.0752
246,0.153529398,-0.0658194995,0.0111527603,-12077.2142
247,0.154173913,-0.0664294642,0.0109445719,-12112.8146
248,0.154818809,-0.0670388048,0.0107333966,-12147.868
249,0.155464101,-0.0676475028,0.0105191805,-12182.3657
250,0.156109804,-0.0682555388,0.0103018668,-12216.2991
251,0.156755936,-0.0688628926,0.0100813959,-12249.6591
252,0.157402514,-0.0694695431,0.0098577049,-12282.4366
253,0.158049556,-0.070075468,0.0096307272,-12314.6223
254,0.158697084,-0.0706806441,0.0094003924,-12346.2067
255,0.159345119,-0.071285047,0.0091666262,-12377.18
256,0.159993685,-0.071888651,0.0089293496,-12407.5323
257,0.160642808,-0.0724914291,0.0086884787,-12437.2533
258,0.161292514,-0.0730933526,0.0084439243,-12466.3325
259,0.161942835,-0.0736943915,0.0081955913,-12494.7592
260,0.162593802,-0.0742945136,0.0079433783,-12522.5223
261,0.16324545,-0.0748936852,0.0076871769,-12549.6103
262,0.163897819,-0.0754918701,0.0074268708,-12576.0116
263,0.164550949,-0.07608903,0.0071623352,-12601.7139
264,0.165204887,-0.0766851239,0.0068934361,-12626.7048
265,0.165859683,-0.077280108,0.0066200286,-12650.9712
266,0.166515392,-0.0778739352,0.0063419563,-12674.4997
267,0.167172076,-0.0784665549,0.0060590499,-12697.2763
268,0.167829803,-0.0790579126,0.005771125,-12719.2863
269,0.168488648,-0.0796479494,0.005477981,-12740.5145
270,0.169148696,-0.0802366011,0.0051793986,-12760.945
271,0.169810039,-0.0808237981,0.0048751369,-12780.5611
272,0.170472785,-0.0814094643,0.0045649312,-12799.3451
273,0.171137054,-0.081993516,0.0042484885,-12817.2783
